,variable,info_value
36,open_rv_24m_woe,0.20537236563914574
41,inq_last_12m_woe,0.19893216228648178
7,all_util_woe,0.19724753064612305
38,open_rv_12m_woe,0.19029612905694615
28,open_acc_6m_woe,0.18999126594747986
62,open_il_12m_woe,0.18470927136135906
31,open_il_24m_woe,0.181076213774666
18,max_bal_bc_woe,0.1738952193914466
13,inq_fi_woe,0.17089160806589326
2,mths_since_rcnt_il_woe,0.17078523163012044
60,total_bal_il_woe,0.16438414387109193
39,open_act_il_woe,0.1634433225210375
26,fico_range_low_woe,0.16327030802124484
30,fico_range_high_woe,0.16327030802124484
64,total_cu_tl_woe,0.1625689733019563
27,il_acc_woe,0.15105692958475964
48,il_util_woe,0.12763499497707162
3,bc_open_to_buy_woe,0.09895391215352188
24,acc_open_past_24mths_woe,0.07957302837789747
29,total_bc_limit_woe,0.06963993173326719
19,inq_last_6mths_woe,0.0632744761369487
25,percent_bc_gt_75_woe,0.06161791916261346
8,term_woe,0.059183978782721004
10,annual_inc_joint_woe,0.05496802665000311
40,bc_util_woe,0.053342222799896255
58,mo_sin_rcnt_tl_woe,0.04901634279158846
32,tot_hi_cred_lim_woe,0.04889121992829678
67,mo_sin_rcnt_rev_tl_op_woe,0.04574616729870841
42,mths_since_recent_inq_woe,0.045091814443998186
71,revol_util_woe,0.04492675081647041
69,avg_cur_bal_woe,0.04279111389427237
55,dti_woe,0.04226889758139159
1,tot_cur_bal_woe,0.03587336257690306
22,dti_joint_woe,0.03393332764910135
34,application_type_woe,0.03245720220742849
35,mths_since_recent_bc_woe,0.03184731754360945
57,num_actv_rev_tl_woe,0.02860826064045827
43,num_rev_tl_bal_gt_0_woe,0.027282863079446343
33,earliest_cr_line,0.02650722157587082
16,home_ownership_woe,0.024358861226305706
17,installment_woe,0.02342356150591737
4,mo_sin_old_rev_tl_op_woe,0.021152680465131253
11,purpose_woe,0.02013934917045326
66,funded_amnt_inv_woe,0.019676887343199907
47,collateral_coverage_ratio_woe,0.01915295005880309
63,funded_amnt_woe,0.01878853436745588
49,loan_amnt_woe,0.018771606691702143
45,mort_acc_woe,0.015580418816164702
9,pub_rec_woe,0.011711027032244912
23,num_op_rev_tl_woe,0.009822964691848401
65,mo_sin_old_il_acct_woe,0.00941634376064544
50,revol_bal_woe,0.009385742665596329
37,num_sats_woe,0.007701664583683494
44,total_bal_ex_mort_woe,0.007461331867584443
46,num_rev_accts_woe,0.007379874119523717
53,total_il_high_credit_limit_woe,0.007235054608240696
15,num_actv_bc_tl_woe,0.006336163473016938
54,open_acc_woe,0.005849113214849474
51,pub_rec_bankruptcies_woe,0.005137795943386241
70,delinq_2yrs_woe,0.004008713019811154
0,num_accts_ever_120_pd_woe,0.003446726093782714
61,num_bc_tl_woe,0.0033878329803388803
20,mths_since_recent_bc_dlq_woe,0.0033613752907467615
72,total_acc_woe,0.0032015998571481683
68,pct_tl_nvr_dlq_woe,0.0031127410881475505
14,payment_history_woe,0.0029486340107111007
5,mths_since_recent_revol_delinq_woe,0.002893259329449169
21,tax_liens_woe,0.002706836107265455
56,bank_dlq_woe,0.002580390684246787
59,tot_coll_amt_woe,0.002314105141452455
52,num_il_tl_woe,0.0020326429642846216
12,num_bc_sats_woe,0.0010755775684134171
6,chargeoff_within_12_mths_woe,0.0
